Pair #: 1	Jaccard: 0.3333333333333333	Title 1: RET ACTIVATION BY GERMLINE MEN2A AND MEN2B MUTATIONS	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:borrello, alberti, arighi, bocciardi, bongarzone, eng, greco, lorenzo, miranda, mondellini, pasini, pierotti, ponder, romeo, scopsi, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 2	Jaccard: 0.3333333333333333	Title 1: CATALYTIC SPECIFICITY OF PROTEIN-TYROSINE KINASES IS CRITICAL FOR SELECTIVE SIGNALING	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:songyang, cantley, carraway, eck, eng, feldman, harrison, hubbard, lorenzo, mayer, mohammadi, ponder, schlessinger, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 3	Jaccard: 0.3333333333333333	Title 1: STEREOLOGICAL ESTIMATES OF NUCLEAR NUMBER IN HUMAN VENTRICULAR CARDIOMYOCYTES BEFORE AND AFTER BIRTH OBTAINED USING PHYSICAL DISECTORS	Title 2: DNA CONTENT, PLOIDY LEVEL AND NUMBER OF NUCLEI IN THE HUMAN HEART AFTER MYOCARDIAL INFARCTION"	Authors: [:mayhew, austin, fagan, pharaoh]	Authors: [:herget, adler, neuburger, plagwitz]	
Pair #: 4	Jaccard: 0.3333333333333333	Title 1: T-CELL HELP FOR CYTOTOXIC T LYMPHOCYTES IS MEDIATED BY CD40-CD40L INTERACTIONS	Title 2: A CONDITIONED DENDRITIC CELL CAN BE A TEMPORAL BRIDGE BETWEEN A CD4(+) T-HELPER AND A T-KILLER CELL	Authors: [:schoenberger, melief, offringa, toes, van der voort]	Authors: [:ridge, di rosa, matzinger]	
Pair #: 5	Jaccard: 0.3333333333333333	Title 1: THE RAN GTPASE REGULATES MITOTIC SPINDLE ASSEMBLY	Title 2: STIMULATION OF MICROTUBULE ASTER FORMATION AND SPINDLE ASSEMBLY BY THE SMALL GTPASE RAN	Authors: [:kalab, dasso, pu]	Authors: [:wilde, zheng]	
Pair #: 6	Jaccard: 0.3333333333333333	Title 1: MEMBRANE POTENTIAL-DRIVEN PROTEIN IMPORT INTO MITOCHONDRIA - THE SORTING SEQUENCE CYTOCHROME B(2) MODULATES THE DELTA PSI-DEPENDENCE OF TRANSLOCATION OF THE MATRIX-TARGETING SEQUENCE	Title 2: AN OUT-OF-FRAME CYTOCHROME B GENE DELETION FROM A PATIENT WITH PARKINSONISM IS ASSOCIATED WITH IMPAIRED COMPLEX III ASSEMBLY AND AN INCREASE IN FREE RADICAL PRODUCTION	Authors: [:geissler, bomer, guiard, krimmer, pfanner, rassow]	Authors: [:rana, de coo, diaz, moraes, smeets]	
Pair #: 7	Jaccard: 0.3333333333333333	Title 1: GENOME SEQUENCE OF YERSINIA PESTIS, THE CAUSATIVE AGENT OF PLAGUE"	Title 2: ANTISENSE PROMOTER OF HUMAN L1 RETROTRANSPOSON DRIVES TRANSCRIPTION OF ADJACENT CELLULAR GENES	Authors: [:parkhill, baker, barrell, basham, bentley, brooks, cerdeno-tarraga, chillingworth, churcher, cronin, davies, davis, dougan, feltwell, hamlin, holden, holroyd, jagels, james, karlyshev, leather, moule, mungall, oyston, prentice, quail, rutherford, sebaihia, simmonds, skelton, stevens, thomson, titball, whitehead, wren]	Authors: [:speek]	
Pair #: 8	Jaccard: 0.3333333333333333	Title 1: THE THRESHOLD FOR POLYGLUTAMINE-EXPANSION PROTEIN AGGREGATION AND CELLULAR TOXICITY IS DYNAMIC AND INFLUENCED BY AGING IN CAENORHABDITIS ELEGANS	Title 2: STABLE ISOTOPE LABELING BY AMINO ACIDS IN CELL CULTURE, SILAC, AS A SIMPLE AND ACCURATE APPROACH TO EXPRESSION PROTEOMICS"	Authors: [:morley, brignull, morimoto, weyers]	Authors: [:ong, blagoev, kratchmarova, kristensen, mann, pandey, steen]	
Pair #: 9	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF THE VERTICAL AND HORIZONTAL SYSTEM NEURONS OF THE LOBULA PLATE IN DROSOPHILA	Title 2: DEFECTIVE PROBOSCIS EXTENSION RESPONSE (DPR), A MEMBER OF THE IG SUPERFAMILY REQUIRED FOR THE GUSTATORY RESPONSE TO SALT"	Authors: [:scott, luo, raabe]	Authors: [:nakamura, baldwin, hannaford, montell, palka]	
Pair #: 10	Jaccard: 0.3333333333333333	Title 1: REQUIREMENT FOR CD4 T CELL HELP IN GENERATING FUNCTIONAL CD8 T CELL MEMORY	Title 2: CD4(+) T CELLS ARE REQUIRED FOR SECONDARY EXPANSION AND MEMORY IN CD8(+) T LYMPHOCYTES	Authors: [:shedlock, shen]	Authors: [:janssen, christen, lemmens, schoenberger, von herrath, wolfe]	
Pair #: 11	Jaccard: 0.3333333333333333	Title 1: PLANT RESPONSES TO ETHYLENE GAS ARE MEDIATED BY SCF (EBF1/EBF2)-DEPENDENT PROTEOLYSIS OF EIN3 TRANSCRIPTION FACTOR	Title 2: EIN3-DEPENDENT REGULATION OF PLANT ETHYLENE HORMONE SIGNALING BY TWO ARABIDOPSIS F BOX PROTEINS: EBF1 AND EBF2	Authors: [:guo, ecker]	Authors: [:potuschak, genschik, grava, koncz, lechner, parmentier, yanagisawa]	
